TEAM1,TEAM2,WINNING_TEAM
2013LOUISVILLE,2013MICHIGAN,2013LOUISVILLE
2012KENTUCKY,2012WESTERNKENTUCKY,2012KENTUCKY
2012IOWAST,2012CONNECTICUT,2012IOWAST
2012WICHITAST,2012VCU,2012VCU
2012INDIANA,2012NEWMEXICOST,2012INDIANA
2012UNLV,2012COLORADO,2012COLORADO
2012BAYLOR,2012SOUTHDAKOTAST,2012BAYLOR
2012NOTREDAME,2012XAVIER,2012XAVIER
2012DUKE,2012LEHIGH,2012LEHIGH
2012MICHIGANST,2012LIUBROOKLYN,2012MICHIGANST
2012MEMPHIS,2012SAINTLOUIS,2012SAINTLOUIS
2012NEWMEXICO,2012LONGBEACHST,2012NEWMEXICO
2012LOUISVILLE,2012DAVIDSON,2012LOUISVILLE
2012MURRAYST,2012COLORADOST,2012MURRAYST
2012MARQUETTE,2012BYU,2012MARQUETTE
2012FLORIDA,2012VIRGINIA,2012FLORIDA
2012MISSOURI,2012NORFOLKST,2012NORFOLKST
2012SYRACUSE,2012UNCASHEVILLE,2012SYRACUSE
2012KANSASST,2012SOUTHERNMISS,2012KANSASST
2012VANDERBILT,2012HARVARD,2012VANDERBILT
2012WISCONSIN,2012MONTANA,2012WISCONSIN
2012CINCINNATI,2012TEXAS,2012CINCINNATI
2012FLORIDAST,2012STBONAVENTURE,2012FLORIDAST
2012GONZAGA,2012WESTVIRGINIA,2012GONZAGA
2012OHIOST,2012LOYOLAMD,2012OHIOST
2012NORTHCAROLINA,2012VERMONT,2012NORTHCAROLINA
2012CREIGHTON,2012ALABAMA,2012CREIGHTON
2012TEMPLE,2012SOUTHFLORIDA,2012SOUTHFLORIDA
2012MICHIGAN,2012OHIO,2012OHIO
2012SANDIEGOST,2012NORTHCAROLINAST,2012NORTHCAROLINAST
2012GEORGETOWN,2012BELMONT,2012GEORGETOWN
2012SAINTMARYS,2012PURDUE,2012PURDUE
2012KANSAS,2012DETROIT,2012KANSAS
2012KENTUCKY,2012IOWAST,2012KENTUCKY
2012VCU,2012INDIANA,2012INDIANA
2012COLORADO,2012BAYLOR,2012BAYLOR
2012XAVIER,2012LEHIGH,2012XAVIER
2012MICHIGANST,2012SAINTLOUIS,2012MICHIGANST
2012NEWMEXICO,2012LOUISVILLE,2012LOUISVILLE
2012MURRAYST,2012MARQUETTE,2012MARQUETTE
2012FLORIDA,2012NORFOLKST,2012FLORIDA
2012SYRACUSE,2012KANSASST,2012SYRACUSE
2012VANDERBILT,2012WISCONSIN,2012WISCONSIN
2012CINCINNATI,2012FLORIDAST,2012CINCINNATI
2012GONZAGA,2012OHIOST,2012OHIOST
2012NORTHCAROLINA,2012CREIGHTON,2012NORTHCAROLINA
2012SOUTHFLORIDA,2012OHIO,2012OHIO
2012NORTHCAROLINAST,2012GEORGETOWN,2012NORTHCAROLINAST
2012PURDUE,2012KANSAS,2012KANSAS
2012KENTUCKY,2012INDIANA,2012KENTUCKY
2012BAYLOR,2012XAVIER,2012BAYLOR
2012MICHIGANST,2012LOUISVILLE,2012LOUISVILLE
2012MARQUETTE,2012FLORIDA,2012FLORIDA
2012SYRACUSE,2012WISCONSIN,2012SYRACUSE
2012CINCINNATI,2012OHIOST,2012OHIOST
2012NORTHCAROLINA,2012OHIO,2012NORTHCAROLINA
2012NORTHCAROLINAST,2012KANSAS,2012KANSAS
2012KENTUCKY,2012BAYLOR,2012KENTUCKY
2012LOUISVILLE,2012FLORIDA,2012LOUISVILLE
2012SYRACUSE,2012OHIOST,2012OHIOST
2012NORTHCAROLINA,2012KANSAS,2012KANSAS
2012KENTUCKY,2012LOUISVILLE,2012KENTUCKY
2012OHIOST,2012KANSAS,2012KANSAS
2012KENTUCKY,2012KANSAS,2012KENTUCKY
2011OHIOST,2011UTSA,2011OHIOST
2011GEORGEMASON,2011VILLANOVA,2011GEORGEMASON
2011WESTVIRGINIA,2011CLEMSON,2011WESTVIRGINIA
2011KENTUCKY,2011PRINCETON,2011KENTUCKY
2011XAVIER,2011MARQUETTE,2011MARQUETTE
2011SYRACUSE,2011INDIANAST,2011SYRACUSE
2011WASHINGTON,2011GEORGIA,2011WASHINGTON
2011NORTHCAROLINA,2011LIUBROOKLYN,2011NORTHCAROLINA
2011DUKE,2011HAMPTON,2011DUKE
2011MICHIGAN,2011TENNESSEE,2011MICHIGAN
2011ARIZONA,2011MEMPHIS,2011ARIZONA
2011TEXAS,2011OAKLAND,2011TEXAS
2011CINCINNATI,2011MISSOURI,2011CINCINNATI
2011CONNECTICUT,2011BUCKNELL,2011CONNECTICUT
2011TEMPLE,2011PENNST,2011TEMPLE
2011SANDIEGOST,2011NORTHERNCOLORADO,2011SANDIEGOST
2011KANSAS,2011BOSTONUNIVERSITY,2011KANSAS
2011UNLV,2011ILLINOIS,2011ILLINOIS
2011VANDERBILT,2011RICHMOND,2011RICHMOND
2011LOUISVILLE,2011MOREHEADST,2011MOREHEADST
2011GEORGETOWN,2011VCU,2011VCU
2011PURDUE,2011SAINTPETERS,2011PURDUE
2011TEXASAM,2011FLORIDAST,2011FLORIDAST
2011NOTREDAME,2011AKRON,2011NOTREDAME
2011PITTSBURGH,2011UNCASHEVILLE,2011PITTSBURGH
2011BUTLER,2011OLDDOMINION,2011BUTLER
2011KANSASST,2011UTAHST,2011KANSASST
2011WISCONSIN,2011BELMONT,2011WISCONSIN
2011STJOHNS,2011GONZAGA,2011GONZAGA
2011BYU,2011WOFFORD,2011BYU
2011UCLA,2011MICHIGANST,2011UCLA
2011FLORIDA,2011UCSANTABARBARA,2011FLORIDA
2011OHIOST,2011GEORGEMASON,2011OHIOST
2011WESTVIRGINIA,2011KENTUCKY,2011KENTUCKY
2011MARQUETTE,2011SYRACUSE,2011MARQUETTE
2011WASHINGTON,2011NORTHCAROLINA,2011NORTHCAROLINA
2011DUKE,2011MICHIGAN,2011DUKE
2011ARIZONA,2011TEXAS,2011ARIZONA
2011CINCINNATI,2011CONNECTICUT,2011CONNECTICUT
2011TEMPLE,2011SANDIEGOST,2011SANDIEGOST
2011KANSAS,2011ILLINOIS,2011KANSAS
2011RICHMOND,2011MOREHEADST,2011RICHMOND
2011VCU,2011PURDUE,2011VCU
2011FLORIDAST,2011NOTREDAME,2011FLORIDAST
2011PITTSBURGH,2011BUTLER,2011BUTLER
2011KANSASST,2011WISCONSIN,2011WISCONSIN
2011GONZAGA,2011BYU,2011BYU
2011UCLA,2011FLORIDA,2011FLORIDA
2011OHIOST,2011KENTUCKY,2011KENTUCKY
2011MARQUETTE,2011NORTHCAROLINA,2011NORTHCAROLINA
2011DUKE,2011ARIZONA,2011ARIZONA
2011CONNECTICUT,2011SANDIEGOST,2011CONNECTICUT
2011KANSAS,2011RICHMOND,2011KANSAS
2011VCU,2011FLORIDAST,2011VCU
2011BUTLER,2011WISCONSIN,2011BUTLER
2011BYU,2011FLORIDA,2011FLORIDA
2011KENTUCKY,2011NORTHCAROLINA,2011KENTUCKY
2011ARIZONA,2011CONNECTICUT,2011CONNECTICUT
2011KANSAS,2011VCU,2011VCU
2011BUTLER,2011FLORIDA,2011BUTLER
2011KENTUCKY,2011CONNECTICUT,2011CONNECTICUT
2011VCU,2011BUTLER,2011BUTLER
2011CONNECTICUT,2011BUTLER,2011CONNECTICUT
2010KANSAS,2010LEHIGH,2010KANSAS
2010UNLV,2010NORTHERNIOWA,2010NORTHERNIOWA
2010MICHIGANST,2010NEWMEXICOST,2010MICHIGANST
2010MARYLAND,2010HOUSTON,2010MARYLAND
2010TENNESSEE,2010SANDIEGOST,2010TENNESSEE
2010GEORGETOWN,2010OHIO,2010OHIO
2010OKLAHOMAST,2010GEORGIATECH,2010GEORGIATECH
2010OHIOST,2010UCSANTABARBARA,2010OHIOST
2010SYRACUSE,2010VERMONT,2010SYRACUSE
2010GONZAGA,2010FLORIDAST,2010GONZAGA
2010BUTLER,2010UTEP,2010BUTLER
2010VANDERBILT,2010MURRAYST,2010MURRAYST
2010XAVIER,2010MINNESOTA,2010XAVIER
2010PITTSBURGH,2010OAKLAND,2010PITTSBURGH
2010BYU,2010FLORIDA,2010BYU
2010KANSASST,2010NORTHTEXAS,2010KANSASST
2010KENTUCKY,2010EASTTENNESSEEST,2010KENTUCKY
2010TEXAS,2010WAKEFOREST,2010WAKEFOREST
2010TEMPLE,2010CORNELL,2010CORNELL
2010WISCONSIN,2010WOFFORD,2010WISCONSIN
2010MARQUETTE,2010WASHINGTON,2010WASHINGTON
2010NEWMEXICO,2010MONTANA,2010NEWMEXICO
2010CLEMSON,2010MISSOURI,2010MISSOURI
2010WESTVIRGINIA,2010MORGANST,2010WESTVIRGINIA
2010DUKE,2010ARKANSASPINEBLUFF,2010DUKE
2010CALIFORNIA,2010LOUISVILLE,2010CALIFORNIA
2010TEXASAM,2010UTAHST,2010TEXASAM
2010PURDUE,2010SIENA,2010PURDUE
2010NOTREDAME,2010OLDDOMINION,2010OLDDOMINION
2010BAYLOR,2010SAMHOUSTONST,2010BAYLOR
2010RICHMOND,2010SAINTMARYS,2010SAINTMARYS
2010VILLANOVA,2010ROBERTMORRIS,2010VILLANOVA
2010KANSAS,2010NORTHERNIOWA,2010NORTHERNIOWA
2010MICHIGANST,2010MARYLAND,2010MICHIGANST
2010TENNESSEE,2010OHIO,2010TENNESSEE
2010GEORGIATECH,2010OHIOST,2010OHIOST
2010SYRACUSE,2010GONZAGA,2010SYRACUSE
2010BUTLER,2010MURRAYST,2010BUTLER
2010XAVIER,2010PITTSBURGH,2010XAVIER
2010BYU,2010KANSASST,2010KANSASST
2010KENTUCKY,2010WAKEFOREST,2010KENTUCKY
2010CORNELL,2010WISCONSIN,2010CORNELL
2010WASHINGTON,2010NEWMEXICO,2010WASHINGTON
2010MISSOURI,2010WESTVIRGINIA,2010WESTVIRGINIA
2010DUKE,2010CALIFORNIA,2010DUKE
2010TEXASAM,2010PURDUE,2010PURDUE
2010OLDDOMINION,2010BAYLOR,2010BAYLOR
2010SAINTMARYS,2010VILLANOVA,2010SAINTMARYS
2010NORTHERNIOWA,2010MICHIGANST,2010MICHIGANST
2010TENNESSEE,2010OHIOST,2010TENNESSEE
2010SYRACUSE,2010BUTLER,2010BUTLER
2010XAVIER,2010KANSASST,2010KANSASST
2010KENTUCKY,2010CORNELL,2010KENTUCKY
2010WASHINGTON,2010WESTVIRGINIA,2010WESTVIRGINIA
2010DUKE,2010PURDUE,2010DUKE
2010BAYLOR,2010SAINTMARYS,2010BAYLOR
2010MICHIGANST,2010TENNESSEE,2010MICHIGANST
2010BUTLER,2010KANSASST,2010BUTLER
2010KENTUCKY,2010WESTVIRGINIA,2010WESTVIRGINIA
2010DUKE,2010BAYLOR,2010DUKE
2010MICHIGANST,2010BUTLER,2010BUTLER
2010WESTVIRGINIA,2010DUKE,2010DUKE
2010BUTLER,2010DUKE,2010DUKE
2009LOUISVILLE,2009MOREHEADST,2009LOUISVILLE
2009OHIOST,2009SIENA,2009SIENA
2009UTAH,2009ARIZONA,2009ARIZONA
2009WAKEFOREST,2009CLEVELANDST,2009CLEVELANDST
2009WESTVIRGINIA,2009DAYTON,2009DAYTON
2009KANSAS,2009NORTHDAKOTAST,2009KANSAS
2009BOSTONCOLLEGE,2009USC,2009USC
2009MICHIGANST,2009ROBERTMORRIS,2009MICHIGANST
2009CONNECTICUT,2009CHATTANOOGA,2009CONNECTICUT
2009BYU,2009TEXASAM,2009TEXASAM
2009PURDUE,2009NORTHERNIOWA,2009PURDUE
2009WASHINGTON,2009MISSISSIPPIST,2009WASHINGTON
2009MARQUETTE,2009UTAHST,2009MARQUETTE
2009MISSOURI,2009CORNELL,2009MISSOURI
2009CALIFORNIA,2009MARYLAND,2009MARYLAND
2009MEMPHIS,2009CALSTNORTHRIDGE,2009MEMPHIS
2009PITTSBURGH,2009EASTTENNESSEEST,2009PITTSBURGH
2009OKLAHOMAST,2009TENNESSEE,2009OKLAHOMAST
2009FLORIDAST,2009WISCONSIN,2009WISCONSIN
2009XAVIER,2009PORTLANDST,2009XAVIER
2009UCLA,2009VCU,2009UCLA
2009VILLANOVA,2009AMERICAN,2009VILLANOVA
2009TEXAS,2009MINNESOTA,2009TEXAS
2009DUKE,2009BINGHAMTON,2009DUKE
2009NORTHCAROLINA,2009RADFORD,2009NORTHCAROLINA
2009LSU,2009BUTLER,2009LSU
2009ILLINOIS,2009WESTERNKENTUCKY,2009WESTERNKENTUCKY
2009GONZAGA,2009AKRON,2009GONZAGA
2009ARIZONAST,2009TEMPLE,2009ARIZONAST
2009SYRACUSE,2009STEPHENFAUSTIN,2009SYRACUSE
2009CLEMSON,2009MICHIGAN,2009MICHIGAN
2009OKLAHOMA,2009MORGANST,2009OKLAHOMA
2009LOUISVILLE,2009SIENA,2009LOUISVILLE
2009ARIZONA,2009CLEVELANDST,2009ARIZONA
2009DAYTON,2009KANSAS,2009KANSAS
2009USC,2009MICHIGANST,2009MICHIGANST
2009CONNECTICUT,2009TEXASAM,2009CONNECTICUT
2009PURDUE,2009WASHINGTON,2009PURDUE
2009MARQUETTE,2009MISSOURI,2009MISSOURI
2009MARYLAND,2009MEMPHIS,2009MEMPHIS
2009PITTSBURGH,2009OKLAHOMAST,2009PITTSBURGH
2009WISCONSIN,2009XAVIER,2009XAVIER
2009UCLA,2009VILLANOVA,2009VILLANOVA
2009TEXAS,2009DUKE,2009DUKE
2009NORTHCAROLINA,2009LSU,2009NORTHCAROLINA
2009WESTERNKENTUCKY,2009GONZAGA,2009GONZAGA
2009ARIZONAST,2009SYRACUSE,2009SYRACUSE
2009MICHIGAN,2009OKLAHOMA,2009OKLAHOMA
2009LOUISVILLE,2009ARIZONA,2009LOUISVILLE
2009KANSAS,2009MICHIGANST,2009MICHIGANST
2009CONNECTICUT,2009PURDUE,2009CONNECTICUT
2009MISSOURI,2009MEMPHIS,2009MISSOURI
2009PITTSBURGH,2009XAVIER,2009PITTSBURGH
2009VILLANOVA,2009DUKE,2009VILLANOVA
2009NORTHCAROLINA,2009GONZAGA,2009NORTHCAROLINA
2009SYRACUSE,2009OKLAHOMA,2009OKLAHOMA
2009LOUISVILLE,2009MICHIGANST,2009MICHIGANST
2009CONNECTICUT,2009MISSOURI,2009CONNECTICUT
2009PITTSBURGH,2009VILLANOVA,2009VILLANOVA
2009NORTHCAROLINA,2009OKLAHOMA,2009NORTHCAROLINA
2009MICHIGANST,2009CONNECTICUT,2009MICHIGANST
2009VILLANOVA,2009NORTHCAROLINA,2009NORTHCAROLINA
2009MICHIGANST,2009NORTHCAROLINA,2009NORTHCAROLINA
2008NORTHCAROLINA,2008MOUNTSTMARYS,2008NORTHCAROLINA
2008INDIANA,2008ARKANSAS,2008ARKANSAS
2008NOTREDAME,2008GEORGEMASON,2008NOTREDAME
2008WASHINGTONST,2008WINTHROP,2008WASHINGTONST
2008OKLAHOMA,2008SAINTJOSEPHS,2008OKLAHOMA
2008LOUISVILLE,2008BOISEST,2008LOUISVILLE
2008BUTLER,2008SOUTHALABAMA,2008BUTLER
2008TENNESSEE,2008AMERICAN,2008TENNESSEE
2008KANSAS,2008PORTLANDST,2008KANSAS
2008UNLV,2008KENTST,2008UNLV
2008CLEMSON,2008VILLANOVA,2008VILLANOVA
2008VANDERBILT,2008SIENA,2008SIENA
2008USC,2008KANSASST,2008KANSASST
2008WISCONSIN,2008CALSTFULLERTON,2008WISCONSIN
2008GONZAGA,2008DAVIDSON,2008DAVIDSON
2008GEORGETOWN,2008UMBC,2008GEORGETOWN
2008MEMPHIS,2008UTARLINGTON,2008MEMPHIS
2008MISSISSIPPIST,2008OREGON,2008MISSISSIPPIST
2008MICHIGANST,2008TEMPLE,2008MICHIGANST
2008PITTSBURGH,2008ORALROBERTS,2008PITTSBURGH
2008MARQUETTE,2008KENTUCKY,2008MARQUETTE
2008STANFORD,2008CORNELL,2008STANFORD
2008MIAMIFL,2008SAINTMARYS,2008MIAMIFL
2008TEXAS,2008AUSTINPEAY,2008TEXAS
2008UCLA,2008MISSISSIPPIVALLEYST,2008UCLA
2008BYU,2008TEXASAM,2008TEXASAM
2008DRAKE,2008WESTERNKENTUCKY,2008WESTERNKENTUCKY
2008CONNECTICUT,2008SANDIEGO,2008SANDIEGO
2008PURDUE,2008BAYLOR,2008PURDUE
2008XAVIER,2008GEORGIA,2008XAVIER
2008WESTVIRGINIA,2008ARIZONA,2008WESTVIRGINIA
2008DUKE,2008BELMONT,2008DUKE
2008NORTHCAROLINA,2008ARKANSAS,2008NORTHCAROLINA
2008NOTREDAME,2008WASHINGTONST,2008WASHINGTONST
2008OKLAHOMA,2008LOUISVILLE,2008LOUISVILLE
2008BUTLER,2008TENNESSEE,2008TENNESSEE
2008KANSAS,2008UNLV,2008KANSAS
2008VILLANOVA,2008SIENA,2008VILLANOVA
2008KANSASST,2008WISCONSIN,2008WISCONSIN
2008DAVIDSON,2008GEORGETOWN,2008DAVIDSON
2008MEMPHIS,2008MISSISSIPPIST,2008MEMPHIS
2008MICHIGANST,2008PITTSBURGH,2008MICHIGANST
2008MARQUETTE,2008STANFORD,2008STANFORD
2008MIAMIFL,2008TEXAS,2008TEXAS
2008UCLA,2008TEXASAM,2008UCLA
2008WESTERNKENTUCKY,2008SANDIEGO,2008WESTERNKENTUCKY
2008PURDUE,2008XAVIER,2008XAVIER
2008WESTVIRGINIA,2008DUKE,2008WESTVIRGINIA
2008NORTHCAROLINA,2008WASHINGTONST,2008NORTHCAROLINA
2008LOUISVILLE,2008TENNESSEE,2008LOUISVILLE
2008KANSAS,2008VILLANOVA,2008KANSAS
2008WISCONSIN,2008DAVIDSON,2008DAVIDSON
2008MEMPHIS,2008MICHIGANST,2008MEMPHIS
2008STANFORD,2008TEXAS,2008TEXAS
2008UCLA,2008WESTERNKENTUCKY,2008UCLA
2008XAVIER,2008WESTVIRGINIA,2008XAVIER
2008NORTHCAROLINA,2008LOUISVILLE,2008NORTHCAROLINA
2008KANSAS,2008DAVIDSON,2008KANSAS
2008MEMPHIS,2008TEXAS,2008MEMPHIS
2008UCLA,2008XAVIER,2008UCLA
2008NORTHCAROLINA,2008KANSAS,2008KANSAS
2008MEMPHIS,2008UCLA,2008MEMPHIS
2008KANSAS,2008MEMPHIS,2008KANSAS
